customerID,Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,customer.tenure,phone.PhoneService,phone.MultipleLines,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.PaperlessBilling,account.Charges.Monthly,account.Charges.Total,account.Cuentas_Diarias,internet.InternetService_Fiber optic,internet.InternetService_No,account.Contract_One year,account.Contract_Two year,account.PaymentMethod_Credit card (automatic),account.PaymentMethod_Electronic check,account.PaymentMethod_Mailed check,PaymentMethod,Contract
0002-ORFBO,0,Female,0,1,1,-0.9516816739185228,1,0,0,1,0,1,1,0,1,0.0278619390838584,-0.7440260080971394,0.027861939083858752,False,False,True,False,False,False,True,Mailed check,One year
0003-MKNFE,0,Male,0,0,0,-0.9516816739185228,1,1,0,0,0,0,0,1,0,-0.1615829189350795,-0.7664822186545944,-0.16158291893507923,False,False,False,False,False,False,True,Mailed check,Month-to-month
0004-TLHLJ,1,Male,0,0,0,-1.1552834925186746,1,0,0,0,1,0,0,0,1,0.30372024111143525,-0.8818736110180992,0.30372024111143536,True,False,False,False,False,True,False,Electronic check,Month-to-month
0011-IGKFF,1,Male,1,1,0,-0.7888002190384014,1,0,0,1,1,0,1,1,1,1.1047063951915064,-0.4596615579044537,1.1047063951915066,True,False,False,False,False,True,False,Electronic check,Month-to-month
0013-EXCHZ,1,Female,1,1,0,-1.1960038562387048,1,0,0,0,0,1,1,0,1,0.6360796411446599,-0.8878075212734581,0.6360796411446601,True,False,False,False,False,False,True,Mailed check,Month-to-month
0013-MHZWF,0,Female,0,0,1,-0.9516816739185228,1,0,0,0,0,1,1,1,1,0.15415851109648415,-0.7536658548688563,0.15415851109648435,False,False,False,False,True,False,False,Credit card (automatic),Month-to-month
0013-SMEOE,0,Female,1,1,0,1.5729808767233588,1,0,1,1,1,1,1,1,1,1.4935668932303794,2.4814402507442472,1.4935668932303794,True,False,False,True,False,False,False,Otro,Two year
0014-BMAQU,0,Male,0,1,0,1.247217966963116,1,1,1,0,0,1,0,0,1,0.6610065961471517,1.3668136660117813,0.6610065961471518,True,False,False,True,True,False,False,Credit card (automatic),Two year
0015-UOCOJ,0,Female,1,0,0,-1.0331224013585834,1,0,1,0,0,0,0,0,1,-0.5504434169739522,-0.8556232273605633,-0.5504434169739519,False,False,False,False,False,True,False,Electronic check,Month-to-month
0016-QLJIS,0,Female,0,1,1,1.3286586944031769,1,1,1,1,1,1,1,1,1,0.8537750481664219,1.6227438770997913,0.8537750481664221,False,False,False,True,False,False,True,Mailed check,Two year
